Unnamed: 0,customerID,gender,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
34,3413-BMNZE,Male,No,No,1.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),,45.25,No
35,6234-RAAPL,Female,Yes,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),,7251.7,No
36,6047-YHPVI,Male,No,No,,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes
37,6572-ADKRS,Female,No,No,46.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No
38,5380-WJKOV,Male,No,no,34.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,,3549.25,Yes
39,8168-UQWWF,Female,No,No,11.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes
40,8865-TNMNX,Male,Yes,Yes,10.0,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No
41,9489-DEDVP,Female,Yes,Yes,70.0,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No
42,9867-JCZSP,Female,Yes,Yes,17.0,Yes,No,No,No internet service,No internet service,No,No,No,No,One year,No,Mailed check,20.75,418.25,No
43,4671-VJLCL,Female,No,No,63.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No
44,4080-IIARD,Female,Yes,No,13.0,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No
45,3714-NTNFO,Female,No,No,49.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,,3906.7,No
46,5948-UJZLF,Male,No,No,2.0,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,,97,No
47,7760-OYPDY,Female,No,No,,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes
48,7639-LIAYI,Male,No,No,52.0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No
49,2954-PIBKO,Female,Yes,Yes,69.0,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No
50,8012-SOUDQ,Female,No,No,,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No
51,9420-LOJKX,Female,No,No,15.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes
52,6575-SUVOI,Female,Yes,No,25.0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No
53,7495-OOKFY,Female,Yes,No,8.0,Yes,Yes,Fiber optic,no,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes
54,4667-QONEA,Female,Yes,Yes,60.0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No
55,1658-BYGOY,Male,No,No,18.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,,1752.55,Yes
56,8769-KKTPH,Female,Yes,Yes,63.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No
57,5067-XJQFU,Male,Yes,Yes,-,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,208.45,7076.35,No
58,3957-SQXML,Female,Yes,Yes,34.0,Yes,Yes,No,No internet service,No internet service,No,No,No,No,Two year,No,Credit card (automatic),24.95,894.3,No
59,5954-BDFSG,Female,No,No,72.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),207.5,7853.7,No
60,0434-CSFON,Female,Yes,No,47.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,200.5,4707.1,No
61,1215-FIGMP,Male,No,No,60.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No
62,0526-SXDJP,Male,Yes,No,72.0,No,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962,No
63,0557-ASKVU,Female,Yes,Yes,18.0,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No
64,5698-BQJOH,Female,No,no,9.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,,857.25,Yes
65,5122-CYFXA,Female,No,No,3.0,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No
66,8627-ZYGSZ,Male,Yes,No,47.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No
67,3410-YOQBQ,Female,No,No,31.0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No
68,3170-NMYVV,Female,Yes,Yes,50.0,Yes,No,No,No internet service,No internet service,No,No,No,No,Two year,No,Bank transfer (automatic),20.15,930.9,No
69,7410-OIEDU,Male,No,No,10.0,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No
70,2273-QCKXA,Male,No,No,1.0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No
71,0731-EBJQB,Female,Yes,Yes,52.0,Yes,No,No,No internet service,No internet service,No,No,No,No,One year,Yes,Electronic check,20.4,1090.65,No
72,1891-QRQSA,Male,Yes,Yes,64.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),,7099,No
73,8028-PNXHQ,Male,Yes,Yes,62.0,Yes,Yes,No,No internet service,No internet service,No,No,No,No,Two year,Yes,Bank transfer (automatic),,1424.6,No
74,5630-AHZIL,Female,No,Yes,3.0,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),,177.4,No
75,2673-CXQEU,Female,No,No,56.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,210.5,6139.5,No
76,6416-JNVRK,Female,No,No,46.0,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),,2688.85,No
77,5590-ZSKRV,Female,Yes,Yes,8.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,,482.25,No
78,0191-ZHSKZ,Male,No,No,30.0,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No
79,3887-PBQAO,Female,Yes,Yes,45.0,Yes,Yes,No,No internet service,No internet service,No,No,No,No,One year,Yes,Credit card (automatic),25.9,1216.6,No
80,5919-TMRGD,Female,No,Yes,1.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes
81,8108-UXRQN,Female,Yes,Yes,11.0,No,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No
82,9191-MYQKX,Female,Yes,No,7.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),,496.9,Yes
83,9919-YLNNG,Female,No,No,42.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),203.8,4327.5,No
84,0318-ZOPWS,Female,Yes,No,49.0,Yes,No,No,No internet service,No internet service,No,No,No,No,Two year,Yes,Bank transfer (automatic),20.15,973.35,No
85,4445-ZJNMU,Male,No,No,9.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No
86,4808-YNLEU,Female,Yes,No,35.0,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No
87,1862-QRWPE,Female,Yes,Yes,48.0,Yes,No,No,No internet service,No internet service,No,No,No,No,Two year,No,Bank transfer (automatic),20.65,1057,No
88,2796-NNUFI,Female,Yes,Yes,46.0,Yes,No,No,No internet service,No internet service,No,No,No,No,Two year,Yes,Mailed check,19.95,927.1,No
89,3016-KSVCP,Male,Yes,No,29.0,No,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No
90,4767-HZZHQ,Male,Yes,Yes,30.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No
91,2424-WVHPL,Male,No,No,,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No
92,7233-PAHHL,Male,Yes,Yes,,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No
93,6067-NGCEU,Female,No,No,65.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),211.05,7107,No
94,9848-JQJTX,Male,No,No,72.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),,7459.05,No
95,8637-XJIVR,Female,No,No,12.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes
96,9803-FTJCG,Male,Yes,Yes,71.0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No
97,0278-YXOOG,Male,No,No,5.0,Yes,No,No,No internet service,No internet service,No,No,No,No,Month-to-month,No,Mailed check,21.05,113.85,Yes
98,3212-KXOCR,Male,No,No,52.0,Yes,No,No,No internet service,No internet service,No,No,No,No,Two year,No,Bank transfer (automatic),21.0,1107.2,No
99,4598-XLKNJ,Female,Yes,No,25.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes
100,6380-ARCEH,Male,No,No,1.0,Yes,No,No,No internet service,No internet service,No,No,No,No,Month-to-month,No,Mailed check,20.2,20.2,No
101,3679-XASPY,Female,Yes,Yes,,Yes,No,No,No internet service,No internet service,No,No,No,No,Month-to-month,No,Electronic check,19.45,19.45,No
102,7123-WQUHX,Male,No,No,38.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No
103,5386-THSLQ,Female,Yes,No,66.0,No,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No
104,3192-NQECA,Male,Yes,No,,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),,7611.85,Yes
105,6180-YBIQI,Male,No,No,,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,,100.2,No
106,6728-DKUCO,Female,Yes,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,204.15,7303.05,No
107,9750-BOOHV,Female,No,No,32.0,No,No,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,No
108,8597-CWYHH,Male,No,No,43.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,No
109,2848-YXSMW,Male,Yes,Yes,72.0,Yes,No,No,No internet service,No internet service,No,No,No,No,Two year,No,Credit card (automatic),19.4,1363.25,No
110,0486-HECZI,Male,Yes,No,55.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes
111,4549-ZDQYY,Female,No,No,52.0,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,No
112,5712-AHQNN,Female,No,No,43.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,No
113,4846-WHAFZ,Female,Yes,No,37.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes
114,5256-SKJGO,Female,Yes,Yes,,No,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,3423.5,No
115,3071-VBYPO,Male,Yes,Yes,3.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.85,248.4,No
116,9560-BBZXK,Female,No,No,36.0,No,No,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,1126.35,No
117,5299-RULOA,Female,Yes,Yes,,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,,1064.65,Yes
118,8402-OOOHJ,Female,No,No,41.0,Yes,No,No,No internet service,No internet service,No,No,No,No,Two year,No,Mailed check,20.65,835.15,No
119,9445-ZUEQE,Male,Yes,Yes,27.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,No
120,1091-SOZGA,Female,Yes,Yes,56.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,No
121,2928-HLDBA,Female,No,No,6.0,Yes,No,No,No internet service,No internet service,No,No,No,No,Month-to-month,No,Mailed check,20.7,112.75,No
122,0404-SWRVG,Male,No,No,3.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Yes
123,6497-TILVL,Female,Yes,Yes,7.0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.7,350.35,No
124,7219-TLZHO,Female,Yes,Yes,,Yes,No,No,No internet service,No internet service,No,No,No,No,Month-to-month,No,Mailed check,20.85,62.9,No
125,4622-YNKIJ,Male,No,No,,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,88.95,3027.65,No
126,4412-YLTKF,Female,No,No,,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,,2135.5,Yes
127,6734-PSBAW,Male,Yes,No,72.0,Yes,Yes,No,No internet service,No internet service,No,No,No,No,Two year,Yes,Bank transfer (automatic),23.55,1723.95,No
128,3930-ZGWVE,Male,No,No,1.0,Yes,No,No,No internet service,No internet service,No,No,No,No,Month-to-month,No,Mailed check,19.75,19.75,No
129,2639-UGMAZ,Male,No,No,71.0,No,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,56.45,3985.35,No
130,2876-GZYZC,Female,No,No,,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,,1215.65,No
131,6207-WIOLX,Female,Yes,Yes,25.0,No,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes
132,8587-XYZSF,Male,No,No,67.0,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),50.55,3260.1,No
133,3091-FYHKI,Male,No,No,1.0,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,Yes
134,2372-HWUHI,Male,No,No,2.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,Yes
135,7799-LGRDP,Female,No,No,43.0,Yes,Yes,No,No internet service,No internet service,No,No,No,No,Two year,Yes,Credit card (automatic),25.7,1188.2,No
136,7850-VWJUU,Female,No,No,,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,No
137,3774-VBNXY,Female,Yes,Yes,64.0,Yes,No,No,No internet service,No internet service,No,No,No,No,Two year,No,Mailed check,20.2,1277.75,No
138,6217-KDYWC,Male,No,Yes,57.0,Yes,No,No,No internet service,No internet service,No,No,No,No,Two year,Yes,Mailed check,19.6,1170.55,No
139,0390-DCFDQ,Female,Yes,No,1.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,,70.45,Yes
140,3146-MSEGF,Female,Yes,Yes,72.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.05,6425.65,No
141,4080-OGPJL,Female,No,No,8.0,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,Yes
142,1095-WGNGG,Female,Yes,No,61.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),201.05,5971.25,No
143,2636-SJDOU,Male,No,No,64.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),84.3,5289.05,No
144,1131-QQZEB,Male,Yes,No,71.0,Yes,Yes,No,No internet service,No internet service,No,No,No,No,Two year,No,Bank transfer (automatic),23.95,1756.2,No
145,5716-EZXZN,Female,Yes,Yes,-,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),99.05,6416.7,No
146,6837-BJYDQ,Male,No,No,3.0,Yes,No,No,No internet service,No internet service,No,No,No,No,One year,No,Mailed check,19.6,61.35,No
147,2135-RXIHG,Male,No,No,1.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,Yes
148,6440-DKQGE,Male,No,Yes,30.0,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),64.5,1929.95,No
149,3466-BYAVD,Male,Yes,Yes,15.0,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,,1071.4,No
150,3780-YVMFA,Female,Yes,Yes,8.0,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,68.55,564.35,No
151,3874-EQOEP,Male,No,No,7.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,Yes
152,1679-JRFBR,Female,Yes,Yes,70.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),208.15,7930.55,No
153,9073-ZZIAY,Male,Yes,Yes,62.0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,86.1,5215.25,No
154,3077-RSNTJ,Female,Yes,Yes,6.0,Yes,No,No,No internet service,No internet service,No,No,No,No,Month-to-month,No,Mailed check,19.7,113.5,No
155,6551-GNYDG,Female,yEs,Yes,,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,No
156,9167-APMXZ,Female,No,No,22.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),,1821.95,No
157,2749-CTKAJ,Male,Yes,Yes,,Yes,No,No,No internet service,No internet service,No,No,No,No,One year,No,Mailed check,20.15,419.9,No
158,6371-NZYEG,Male,Yes,Yes,16.0,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,64.25,1024,No
159,7554-NEWDD,Male,No,No,10.0,Yes,Yes,No,No internet service,No internet service,No,No,No,No,Two year,No,Bank transfer (automatic),25.7,251.6,No
160,8992-VONJD,Female,No,yeS,13.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,56.0,764.55,No
161,0867-MKZVY,Female,Yes,No,20.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,,1592.35,Yes
162,4482-EWFMI,Female,No,No,,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,135.2,No
163,4648-YPBTM,Male,No,No,53.0,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),73.9,3958.25,No
164,2907-ILJBN,Female,Yes,Yes,11.0,Yes,No,No,No internet service,No internet service,No,No,No,No,One year,No,Mailed check,20.6,233.9,No
165,6345-FZOQH,Male,Yes,No,-,Yes,No,No,No internet service,No internet service,No,No,No,No,Two year,No,Mailed check,19.9,1363.45,No
166,3376-BMGFE,Female,No,No,4.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273,Yes
167,5997-OPVFA,Male,Yes,No,72.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),89.05,6254.45,No
168,3445-HXXGF,Male,Yes,No,58.0,No,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,Yes
169,1159-WFSGR,Female,Yes,Yes,16.0,Yes,No,No,No internet service,No internet service,No,No,No,No,Month-to-month,No,Electronic check,20.4,321.4,No
170,7654-YWJUF,Male,Yes,No,43.0,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),,3539.25,No
171,1875-QIVME,Female,Yes,No,2.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,204.4,242.8,Yes
172,6727-IOTLZ,Male,Yes,No,14.0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,,1181.75,No
